rank,order_book_id,total_turnover,eng_symbol,abbrev_symbol,board_type,symbol,listed_date,de_listed_date,status,round_lot,a_share_id,exchange,type,trading_code,unique_id,stock_connect,trading_hours,selection_date,rank_window_start,rank_window_end,in_hkconnect_selection_20260506
97,06608.XHKG,305104949.0,BAIRONG-W,BRYW,MainBoard,百融云-W,2021-03-31,0000-00-00,Active,500.0,,XHKG,CS,06608,06608_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
98,02670.XHKG,302448055.0,YUNJI,YJ,MainBoard,云迹,2025-10-16,0000-00-00,Active,50.0,,XHKG,CS,02670,02670_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
99,06938.XHKG,300360098.0,RIBOLIFE-B,RBSWB,MainBoard,瑞博生物-B,2026-01-09,0000-00-00,Active,200.0,,XHKG,CS,06938,06938_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
100,00376.XHKG,293632313.0,YUNFENG FIN,YFJR,MainBoard,云锋金融,1987-07-17,0000-00-00,Active,2000.0,,XHKG,CS,00376,00376_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
101,03337.XHKG,288508236.0,ANTON OILFIELD,ADYTFW,MainBoard,安东油田服务,2007-12-14,0000-00-00,Active,2000.0,,XHKG,CS,03337,03337_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
102,01780.XHKG,287861397.0,RONGZUN INT’L H,RZGJKG,MainBoard,荣尊国际控股,2019-04-30,0000-00-00,Active,2500.0,,XHKG,CS,01780,01780_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
103,80700.XHKG,286155240.0,TENCENT-R,TXKGR,MainBoard,腾讯控股-R,2023-06-19,0000-00-00,Active,100.0,,XHKG,CS,80700,80700_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
104,01626.XHKG,280749223.0,JIA YAO HLDGS,JYKG,MainBoard,嘉耀控股,2014-06-27,0000-00-00,Active,1000.0,,XHKG,CS,01626,01626_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
105,09900.XHKG,271843720.0,ZCLOUD TECH CON,ZYKJJS,MainBoard,智云科技建设,2019-12-30,0000-00-00,Active,4000.0,,XHKG,CS,09900,09900_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
106,02190.XHKG,270587869.0,ZYLOXTB,GCTQ,MainBoard,归创通桥,2021-07-05,0000-00-00,Active,500.0,,XHKG,CS,02190,02190_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
107,00695.XHKG,255257727.0,DONGWU CEMENT,DWSN,MainBoard,东吴水泥,2012-06-13,0000-00-00,Active,2000.0,,XHKG,CS,00695,00695_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
108,01142.XHKG,247308523.0,E&P GLOBAL,NYJNLHQ,MainBoard,能源及能量环球,2002-11-08,0000-00-00,Active,2000.0,,XHKG,CS,01142,01142_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
109,08279.XHKG,241309473.0,AGTECH HOLDINGS,YBKJKG,GEM,亚博科技控股,2004-01-19,0000-00-00,Active,4000.0,,XHKG,CS,08279,08279_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
110,00465.XHKG,239613727.0,FUTONG TECH,FTKJ,MainBoard,富通科技,2009-12-04,0000-00-00,Active,2000.0,,XHKG,CS,00465,00465_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
